links,names,address,ratings,price for two,cuisine
https://www.zomato.com/pune/we-idliwale-barroom-balewadi/info,We Idliwale Barroom/,N/A,4.2,"₹1,500 for two","South Indian, Biryani, Desserts"
https://www.zomato.com/pune/thikana-hinjawadi/info,Thikana/,N/A,4.2,"₹1,800 for two","North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages"
https://www.zomato.com/pune/code-the-speakeasy-bar-kothrud/info,Code - The Speakeasy Bar/,N/A,4.3,"₹1,200 for two","North Indian, Chinese, Continental, Fast Food, Biryani, Beverages"
https://www.zomato.com/pune/barzilla-club-hinjawadi/info,Barzilla Club/,N/A,4.2,"₹2,300 for two","North Indian, Bar Food"
https://www.zomato.com/pune/sheri-mundhwa/info,Sheri/,N/A,4.4,"₹1,700 for two","Continental, North Indian, Italian, Asian, Thai, Chinese, Biryani, Desserts"
https://www.zomato.com/pune/the-sassy-spoon-koregaon-park/info,The Sassy Spoon/,N/A,4.5,"₹1,900 for two","European, Continental, American, Asian, Mediterranean, Healthy Food, Italian, Beverages"
https://www.zomato.com/pune/neighbourhud-all-day-bistro-1-baner/info,Neighbourhud | All Day Bistro/,N/A,4.5,"₹1,500 for two","North Indian, Biryani, Fast Food, Pizza, Continental, Beverages"
https://www.zomato.com/pune/murphies-bistro-and-bar-deccan-gymkhana/info,Murphies - Bistro and Bar/,N/A,4.4,"₹1,200 for two","European, Continental, Asian, Bakery, Pasta, Coffee, Desserts, Salad"
https://www.zomato.com/pune/the-urban-foundry-balewadi/info,The Urban Foundry/,N/A,4.5,"₹2,500 for two","Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages"
https://www.zomato.com/pune/caffe-allora-wakad/info,Caffe Allora/,N/A,4.4,"₹1,000 for two","Italian, Seafood, Pasta, Pizza, Sandwich, Salad, Desserts"
https://www.zomato.com/thecafe/info,Pune 14 - Hyatt Regency/,N/A,4.1,"₹3,700 for two","North Indian, Asian, Continental"
